Device, Blit, Orientation, Bandwidth ( Kb/Sec), Surface Creation time ( ms), Frames per sec
 framebuffer via VT switch from X, Single Blit, na, 33367.1,7.8,222
 X MIT-SHM PutImage, Single Blit, normal, 4127.6,26.4,27
 X MIT-SHM PutImage, Multiple Blit (x), normal, 1640.3,26.7,10.2
 X MIT-SHM PutImage, Multiple Blit (y), normal, 3382,26.4,22
 X MIT-SHM PutImage, Single Blit, left, 7992.4,26.3,53
 X MIT-SHM PutImage, Multiple Blit (x), left, 1899.6,26.5,12
 X MIT-SHM PutImage, Multiple Blit (y), left, 4906.4,26.9,32.2
 X MIT-SHM PutImage, Single Blit, right, 20616,26.3,136.9
 X MIT-SHM PutImage, Multiple Blit (x), right, 2254,26.2,14.5
 X MIT-SHM PutImage, Multiple Blit (y), right, 9705.1,26.6,64.1
 X MIT-SHM PutImage, Single Blit, inverted, 4137,26.3,27
 X MIT-SHM PutImage, Multiple Blit (x), inverted, 1633.4,26.8,10.2
 X MIT-SHM PutImage, Multiple Blit (y), inverted, 3419.5,26.6,22.2
 X PutImage, Single Blit, normal, 3506.6,25.9,23
 X PutImage, Multiple Blit(x), normal, 1249.7,26.4,8
 X PutImage, Multiple Blit(y), normal, 4321.5,26.5,28.4
 X PutImage, Single Blit, left, 6068.8,26,39.9
 X PutImage, Multiple Blit(x), left, 1400,27.2,9
 X PutImage, Multiple Blit(y), left, 4779.5,26,31.4
 X PutImage, Single Blit, right, 10905.9,26,72.1
 X PutImage, Multiple Blit(x), right, 1446.8,29.8,9
 X PutImage, Multiple Blit(y), right, 7521,26.1,49.6
 X PutImage, Single Blit, inverted, 3505.1,26,22.9
 X PutImage, Multiple Blit(x), inverted, 1251.4,26.1,8
 X PutImage, Multiple Blit(y), inverted, 4379.8,26,28.7
 X + SDL, Single Blit, normal , 224,61.4,24
 X + SDL, Multiple Blit(x), normal , 1836.2,62.1,12
 X + SDL, Multiple Blit(y), normal , 3605.8,63.8,24
 framebuffer no X, Single Blit, na, 34120.5,7.6,226.9
 framebuffer + SDL (swsurface), Single Blit, na, 866.2,0,0
 framebuffer + SDL (hwsurface), Single Blit, na, 2338,61,222
 framebuffer + SDL (hwsurface), Multiple Blit(x), na, 2531.6,61.5,17
 framebuffer + SDL (hwsurface), Multiple Blit(y), na, 25789,61.1,174.8
